Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,y_true,proba,pred
Europe,Asus,Gaming Laptop,M2,AMD Radeon Vega,8,512,macOS,Gray,Online,Debit Card,1830.32,15,1555.77,3,4667.31,Student,1,0.435,1
Europe,HP,Gaming Laptop,i9,NVIDIA RTX 3060,4,1024,Windows 11,Silver,Reseller,Credit Card,1838.19,5,1746.28,2,3492.56,Student,1,0.4225,1
North America,Lenovo,Gaming Laptop,i9,Intel Iris,4,512,Windows 11,Silver,Retail Store,PayPal,533.5,10,480.15,3,1440.45,Enterprise,1,0.305,0
Asia-Pacific,MSI,Gaming Laptop,i9,Intel UHD,32,256,Windows 11,Silver,Retail Store,PayPal,528.8,20,423.04,2,846.08,Gamer,0,0.35,1
North America,Razer,Laptop,Ryzen 5,Intel UHD,8,2048,Windows 11,Silver,Retail Store,PayPal,1154.44,20,923.55,3,2770.65,Student,0,0.335,0
Asia-Pacific,Samsung,Gaming Laptop,M1,NVIDIA RTX 3060,8,512,macOS,Blue,Reseller,Bank Transfer,1965.21,5,1866.95,3,5600.85,Enterprise,0,0.3875,1
Europe,MSI,Laptop,i7,Intel Iris,32,512,Linux,Blue,Online,Bank Transfer,1132.45,10,1019.21,1,1019.21,Gamer,0,0.39,1
Europe,Samsung,Desktop,Ryzen 7,NVIDIA RTX 2060,16,512,Windows 11,Silver,Online,Debit Card,2006.0,15,1705.1,1,1705.1,Enterprise,0,0.3225,0
Europe,Asus,Gaming Laptop,Ryzen 7,AMD Radeon Vega,4,256,Windows 11,Black,Online,Credit Card,1797.17,5,1707.31,1,1707.31,Enterprise,0,0.275,0
Europe,HP,All-in-One,M2,Intel UHD,4,256,Windows 10,Gray,Reseller,Credit Card,2197.83,0,2197.83,3,6593.49,Enterprise,1,0.4525,1
Europe,Dell,Laptop,Ryzen 7,Intel UHD,8,256,macOS,White,Reseller,Bank Transfer,1405.95,10,1265.36,3,3796.08,Student,0,0.4175,1
Europe,Acer,Gaming Laptop,i3,NVIDIA GTX 1650,32,1024,macOS,Silver,Retail Store,Credit Card,1314.9,5,1249.15,2,2498.3,Gamer,0,0.4525,1
Europe,Lenovo,Gaming Laptop,M2,NVIDIA RTX 2060,16,256,Windows 11,Silver,Online,PayPal,902.43,5,857.31,1,857.31,Gamer,0,0.3525,1
North America,MSI,Laptop,Ryzen 9,NVIDIA RTX 2060,4,2048,Windows 10,White,Retail Store,Bank Transfer,729.4,0,729.4,1,729.4,Professional,0,0.37,1
Europe,Razer,Laptop,Ryzen 3,Intel Iris,4,1024,Linux,White,Online,Debit Card,536.86,10,483.17,3,1449.51,Professional,1,0.375,1
Asia-Pacific,Razer,Desktop,i5,AMD Radeon Vega,4,2048,Windows 11,Gray,Retail Store,Debit Card,2118.71,10,1906.84,1,1906.84,Professional,1,0.37,1
North America,Microsoft,All-in-One,i7,AMD Radeon Vega,4,1024,Windows 10,Black,Reseller,Debit Card,1392.83,20,1114.26,1,1114.26,Professional,0,0.335,0
Europe,Dell,Desktop,Ryzen 7,NVIDIA RTX 2060,16,2048,Linux,White,Online,Bank Transfer,2587.07,20,2069.66,3,6208.98,Gamer,0,0.3475,0
Asia-Pacific,Lenovo,All-in-One,i9,NVIDIA GTX 1650,16,512,Windows 11,Silver,Reseller,PayPal,865.47,10,778.92,2,1557.84,Gamer,1,0.35,1
Asia-Pacific,HP,All-in-One,i9,NVIDIA RTX 2060,8,512,Windows 10,Black,Retail Store,Debit Card,2729.15,0,2729.15,3,8187.45,Student,0,0.4075,1
Europe,Asus,All-in-One,i3,NVIDIA RTX 3060,32,2048,macOS,Silver,Reseller,Credit Card,1732.89,5,1646.25,2,3292.5,Enterprise,1,0.4925,1
Europe,Apple,Desktop,i9,NVIDIA RTX 3060,4,1024,macOS,Gray,Online,Bank Transfer,2306.89,5,2191.55,3,6574.65,Gamer,0,0.4075,1
North America,Acer,Laptop,Ryzen 7,NVIDIA RTX 3060,32,512,Linux,Silver,Online,PayPal,2129.11,10,1916.2,1,1916.2,Student,0,0.35,1
North America,Acer,Laptop,Ryzen 7,NVIDIA GTX 1650,32,2048,macOS,White,Online,Debit Card,742.97,15,631.52,3,1894.56,Enterprise,0,0.375,1
Asia-Pacific,Lenovo,Gaming Laptop,M1,Intel Iris,32,256,macOS,Blue,Online,PayPal,1103.44,10,993.1,1,993.1,Student,1,0.45,1
Asia-Pacific,HP,All-in-One,i9,Intel Iris,8,512,Linux,Gray,Reseller,Bank Transfer,1643.84,15,1397.26,1,1397.26,Professional,1,0.3625,1
Europe,Acer,Desktop,Ryzen 9,NVIDIA RTX 2060,16,1024,Windows 10,Gray,Reseller,Debit Card,664.59,0,664.59,3,1993.77,Gamer,1,0.335,0
Europe,Dell,Laptop,M2,AMD Radeon Vega,16,512,macOS,Gray,Online,PayPal,2663.91,10,2397.52,1,2397.52,Gamer,1,0.435,1
Europe,Microsoft,All-in-One,i5,NVIDIA RTX 2060,32,256,Windows 10,Blue,Retail Store,Debit Card,1408.15,15,1196.93,3,3590.79,Student,1,0.3425,0
Europe,Dell,Laptop,Ryzen 7,AMD Radeon Vega,8,1024,Linux,Gray,Retail Store,Bank Transfer,2205.47,15,1874.65,1,1874.65,Professional,0,0.4225,1
Europe,Dell,Gaming Laptop,M2,NVIDIA GTX 1650,32,1024,Linux,White,Online,Debit Card,2229.37,10,2006.43,2,4012.86,Professional,1,0.4925,1
Asia-Pacific,Apple,Gaming Laptop,i7,NVIDIA RTX 3060,8,512,macOS,Black,Reseller,Credit Card,2715.4,15,2308.09,3,6924.27,Gamer,1,0.46,1
Asia-Pacific,Microsoft,Desktop,i9,NVIDIA RTX 3060,32,512,macOS,Black,Retail Store,Debit Card,2888.69,20,2310.95,3,6932.85,Gamer,1,0.46,1
Europe,Apple,Laptop,Ryzen 5,AMD Radeon Vega,32,256,macOS,Silver,Online,PayPal,2454.74,10,2209.27,3,6627.81,Professional,0,0.5525,1
Europe,Samsung,Gaming Laptop,M1,Intel Iris,4,2048,Linux,Blue,Retail Store,Bank Transfer,1551.92,5,1474.32,3,4422.96,Student,1,0.365,1
North America,MSI,Laptop,Ryzen 3,Intel Iris,16,2048,Linux,Gray,Retail Store,Bank Transfer,1057.52,20,846.02,1,846.02,Professional,1,0.5575,1
Europe,MSI,All-in-One,i3,Intel UHD,16,256,Linux,Blue,Reseller,Bank Transfer,2867.45,20,2293.96,2,4587.92,Professional,0,0.455,1
Europe,Asus,Laptop,Ryzen 3,Intel UHD,16,512,Linux,White,Reseller,Credit Card,2650.28,5,2517.77,2,5035.54,Student,1,0.5125,1
Europe,Asus,Laptop,Ryzen 9,NVIDIA GTX 1650,4,1024,macOS,Blue,Reseller,Credit Card,2525.2,10,2272.68,2,4545.36,Professional,0,0.4875,1
Asia-Pacific,Acer,Gaming Laptop,Ryzen 9,Intel Iris,8,2048,Windows 10,Silver,Reseller,PayPal,1379.86,15,1172.88,3,3518.64,Student,0,0.425,1
North America,Microsoft,Desktop,i9,NVIDIA RTX 3060,4,2048,macOS,White,Reseller,PayPal,1614.33,20,1291.46,3,3874.38,Gamer,0,0.435,1
Europe,Microsoft,Desktop,Ryzen 7,NVIDIA GTX 1650,32,1024,Windows 10,White,Retail Store,Credit Card,2626.75,0,2626.75,1,2626.75,Gamer,1,0.395,1
Asia-Pacific,Razer,Laptop,Ryzen 3,NVIDIA RTX 3060,16,256,Windows 11,Blue,Online,Debit Card,1079.53,0,1079.53,2,2159.06,Professional,1,0.415,1
Europe,Asus,Desktop,M1,AMD Radeon Vega,4,1024,Linux,Blue,Reseller,Bank Transfer,1017.86,0,1017.86,1,1017.86,Student,0,0.3825,1
Asia-Pacific,Apple,Desktop,Ryzen 3,NVIDIA RTX 2060,4,2048,macOS,Silver,Reseller,PayPal,511.56,10,460.4,2,920.8,Gamer,1,0.315,0
Asia-Pacific,Microsoft,Laptop,M1,Intel UHD,32,256,Windows 11,Silver,Reseller,Bank Transfer,2226.9,15,1892.87,2,3785.74,Professional,1,0.35,1
Asia-Pacific,Microsoft,Laptop,i3,NVIDIA RTX 2060,16,1024,Windows 10,Blue,Retail Store,Credit Card,929.36,20,743.49,2,1486.98,Gamer,1,0.36,1
Europe,HP,Desktop,i7,AMD Radeon Vega,4,1024,Linux,Silver,Reseller,PayPal,2107.03,20,1685.62,3,5056.86,Enterprise,1,0.41,1
Asia-Pacific,MSI,Gaming Laptop,Ryzen 3,Intel UHD,8,1024,Windows 10,Silver,Retail Store,PayPal,1703.3,5,1618.13,1,1618.13,Professional,0,0.3475,0
North America,Apple,Gaming Laptop,M2,NVIDIA RTX 3060,32,2048,macOS,Silver,Online,Credit Card,756.01,15,642.61,1,642.61,Enterprise,0,0.445,1
Asia-Pacific,Acer,Gaming Laptop,M2,Intel Iris,32,512,Linux,Black,Online,Debit Card,2166.13,15,1841.21,3,5523.63,Gamer,1,0.45,1
North America,Razer,All-in-One,i9,Intel Iris,16,256,Windows 11,Blue,Retail Store,Debit Card,2804.79,15,2384.07,1,2384.07,Gamer,1,0.3675,1
Asia-Pacific,Dell,All-in-One,Ryzen 7,Intel Iris,16,2048,Linux,White,Retail Store,Bank Transfer,2047.23,20,1637.78,1,1637.78,Enterprise,0,0.38,1
Europe,Microsoft,Laptop,i5,Intel UHD,16,1024,Linux,Black,Retail Store,Credit Card,1767.84,15,1502.66,2,3005.32,Professional,0,0.495,1
Asia-Pacific,Lenovo,Desktop,i5,NVIDIA GTX 1650,16,2048,Linux,Black,Online,PayPal,1454.17,5,1381.46,3,4144.38,Enterprise,0,0.3975,1
Europe,Samsung,Laptop,i3,AMD Radeon Vega,32,256,macOS,Gray,Online,Bank Transfer,1722.9,15,1464.47,1,1464.47,Professional,1,0.4125,1
Asia-Pacific,Acer,Desktop,i7,Intel UHD,32,2048,macOS,Silver,Retail Store,Debit Card,2748.65,20,2198.92,1,2198.92,Student,1,0.385,1
North America,Dell,Laptop,Ryzen 3,AMD Radeon Vega,4,256,Windows 11,Black,Online,PayPal,1156.91,5,1099.06,1,1099.06,Student,0,0.4925,1
Europe,Razer,All-in-One,M1,NVIDIA GTX 1650,4,1024,Windows 10,Blue,Online,Bank Transfer,2398.36,10,2158.52,1,2158.52,Student,0,0.38,1
Europe,Dell,Gaming Laptop,i3,NVIDIA RTX 2060,8,1024,Linux,White,Reseller,PayPal,1510.6,20,1208.48,2,2416.96,Enterprise,0,0.4425,1
Europe,Lenovo,Desktop,Ryzen 7,NVIDIA GTX 1650,32,512,Windows 10,Blue,Retail Store,Credit Card,2480.73,15,2108.62,1,2108.62,Enterprise,0,0.4825,1
Europe,HP,Desktop,i7,Intel UHD,32,1024,Windows 10,Silver,Retail Store,Bank Transfer,1820.62,5,1729.59,3,5188.77,Student,1,0.37,1
North America,Dell,All-in-One,Ryzen 7,NVIDIA GTX 1650,32,1024,Windows 10,Gray,Online,Bank Transfer,1610.59,20,1288.47,2,2576.94,Gamer,0,0.3575,1
Asia-Pacific,HP,Laptop,M2,NVIDIA RTX 3060,16,512,Windows 10,Gray,Retail Store,Credit Card,606.58,20,485.26,2,970.52,Professional,0,0.39,1
Europe,Acer,Gaming Laptop,i3,NVIDIA RTX 2060,16,1024,Windows 10,Black,Online,PayPal,668.84,5,635.4,2,1270.8,Gamer,0,0.3575,1
Asia-Pacific,Razer,Desktop,i5,NVIDIA GTX 1650,16,512,Windows 11,White,Reseller,PayPal,1918.6,20,1534.88,1,1534.88,Professional,0,0.39,1
Asia-Pacific,Microsoft,All-in-One,Ryzen 5,AMD Radeon Vega,8,256,Windows 10,White,Online,PayPal,2438.95,5,2317.0,2,4634.0,Gamer,0,0.515,1
Asia-Pacific,Acer,All-in-One,i7,NVIDIA RTX 3060,4,2048,Windows 11,Gray,Online,Credit Card,1648.75,5,1566.31,2,3132.62,Student,0,0.39,1
Asia-Pacific,HP,All-in-One,i9,NVIDIA RTX 2060,32,512,Windows 11,Silver,Retail Store,Bank Transfer,2463.75,5,2340.56,1,2340.56,Enterprise,1,0.4025,1
Asia-Pacific,Samsung,Gaming Laptop,M2,NVIDIA RTX 2060,32,1024,Linux,Gray,Reseller,Credit Card,2440.49,20,1952.39,1,1952.39,Professional,1,0.4075,1
North America,HP,All-in-One,i3,Intel Iris,16,256,Linux,Blue,Reseller,Bank Transfer,2625.77,15,2231.9,2,4463.8,Professional,1,0.3225,0
Europe,Dell,Gaming Laptop,i9,Intel UHD,16,512,Windows 10,Silver,Online,PayPal,1429.32,15,1214.92,1,1214.92,Student,0,0.335,0
North America,Apple,Gaming Laptop,i3,Intel Iris,8,512,macOS,Gray,Online,Bank Transfer,2694.37,5,2559.65,2,5119.3,Gamer,1,0.4025,1
Europe,Samsung,Gaming Laptop,i3,NVIDIA RTX 3060,32,256,Linux,Blue,Retail Store,Bank Transfer,1972.23,15,1676.4,2,3352.8,Gamer,0,0.4025,1
North America,Apple,All-in-One,Ryzen 3,Intel UHD,4,1024,macOS,Gray,Retail Store,Debit Card,667.39,0,667.39,2,1334.78,Professional,0,0.3525,1
North America,Samsung,Laptop,i3,NVIDIA RTX 2060,8,1024,Linux,Silver,Retail Store,Bank Transfer,1492.72,20,1194.18,3,3582.54,Gamer,1,0.385,1
Europe,Apple,Desktop,Ryzen 7,AMD Radeon Vega,8,1024,macOS,White,Retail Store,Bank Transfer,978.2,0,978.2,3,2934.6,Enterprise,0,0.3725,1
Asia-Pacific,Acer,Gaming Laptop,Ryzen 7,Intel Iris,16,256,Windows 11,Black,Reseller,Debit Card,2660.29,20,2128.23,1,2128.23,Student,0,0.3975,1
Asia-Pacific,Samsung,All-in-One,M1,AMD Radeon Vega,8,512,macOS,Black,Retail Store,PayPal,1921.82,5,1825.73,1,1825.73,Student,0,0.4875,1
North America,Acer,All-in-One,M1,Intel Iris,4,256,macOS,Gray,Retail Store,Credit Card,2289.6,20,1831.68,2,3663.36,Gamer,0,0.3225,0
North America,Apple,Gaming Laptop,i9,AMD Radeon Vega,32,512,macOS,Blue,Retail Store,Bank Transfer,1590.44,5,1510.92,2,3021.84,Enterprise,1,0.4025,1
Europe,Samsung,Desktop,Ryzen 5,NVIDIA GTX 1650,8,512,Windows 10,Blue,Reseller,Credit Card,589.08,15,500.72,1,500.72,Enterprise,0,0.2925,0
Europe,Microsoft,All-in-One,i3,Intel UHD,16,256,Linux,Silver,Online,PayPal,1871.1,15,1590.43,2,3180.86,Gamer,0,0.3975,1
North America,HP,All-in-One,i7,Intel Iris,8,2048,Linux,Black,Online,PayPal,1416.6,5,1345.77,1,1345.77,Professional,1,0.4225,1
Asia-Pacific,Acer,All-in-One,i7,NVIDIA GTX 1650,8,256,macOS,Blue,Online,Debit Card,2608.33,0,2608.33,2,5216.66,Professional,0,0.43,1
North America,Razer,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,16,2048,Windows 10,Silver,Reseller,PayPal,1914.34,15,1627.19,2,3254.38,Enterprise,0,0.39,1
North America,MSI,All-in-One,i5,Intel Iris,8,512,Windows 11,Gray,Retail Store,Bank Transfer,2106.16,0,2106.16,2,4212.32,Enterprise,0,0.38,1
Asia-Pacific,Microsoft,Gaming Laptop,Ryzen 5,Intel Iris,32,512,Linux,Silver,Retail Store,Credit Card,1146.55,20,917.24,2,1834.48,Gamer,0,0.365,1
Asia-Pacific,Lenovo,Desktop,i7,NVIDIA RTX 3060,4,2048,Windows 10,White,Retail Store,PayPal,1692.55,0,1692.55,2,3385.1,Student,0,0.4125,1
Europe,Acer,Laptop,i5,Intel Iris,32,512,Windows 11,Blue,Reseller,PayPal,1532.69,0,1532.69,1,1532.69,Enterprise,1,0.405,1
Asia-Pacific,Lenovo,All-in-One,Ryzen 9,Intel Iris,32,2048,Linux,Silver,Retail Store,Bank Transfer,1296.62,20,1037.3,2,2074.6,Gamer,0,0.395,1
Asia-Pacific,HP,Desktop,i3,Intel UHD,16,512,macOS,Black,Retail Store,PayPal,1194.43,5,1134.71,3,3404.13,Student,0,0.39,1
Asia-Pacific,Dell,All-in-One,M2,NVIDIA GTX 1650,16,2048,macOS,White,Reseller,PayPal,1407.97,10,1267.17,1,1267.17,Student,0,0.4,1
Europe,Razer,Desktop,i5,NVIDIA RTX 2060,32,2048,Linux,Blue,Retail Store,Debit Card,2536.0,15,2155.6,2,4311.2,Student,0,0.34,0
Asia-Pacific,Asus,All-in-One,i5,NVIDIA GTX 1650,4,512,Windows 11,Gray,Retail Store,Credit Card,1598.39,5,1518.47,3,4555.41,Gamer,0,0.31,0
Europe,Lenovo,Gaming Laptop,i3,Intel Iris,4,2048,Linux,White,Online,PayPal,2988.48,5,2839.06,2,5678.12,Enterprise,0,0.43,1
North America,Lenovo,Gaming Laptop,i3,AMD Radeon Vega,16,256,Windows 11,Blue,Retail Store,Bank Transfer,1016.73,10,915.06,2,1830.12,Student,1,0.49,1
Asia-Pacific,Acer,All-in-One,M2,NVIDIA RTX 2060,4,1024,Linux,Blue,Retail Store,Debit Card,1645.41,10,1480.87,1,1480.87,Enterprise,0,0.3825,1
Asia-Pacific,Samsung,All-in-One,Ryzen 7,Intel Iris,8,2048,macOS,Black,Retail Store,Debit Card,1988.95,0,1988.95,2,3977.9,Professional,0,0.39,1
Europe,Microsoft,All-in-One,i3,Intel UHD,32,512,macOS,White,Online,Bank Transfer,1490.01,20,1192.01,1,1192.01,Enterprise,1,0.4525,1
Europe,HP,All-in-One,i3,NVIDIA GTX 1650,4,1024,Linux,Gray,Online,Credit Card,705.64,20,564.51,1,564.51,Student,1,0.365,1
North America,Dell,Laptop,i7,Intel Iris,32,1024,Windows 11,White,Reseller,Credit Card,2401.35,20,1921.08,3,5763.24,Gamer,1,0.4125,1
North America,MSI,All-in-One,i9,NVIDIA GTX 1650,16,2048,Windows 10,Gray,Reseller,Credit Card,1085.24,15,922.45,3,2767.35,Professional,1,0.3225,0
Europe,Apple,All-in-One,Ryzen 3,NVIDIA GTX 1650,32,256,macOS,Black,Retail Store,PayPal,410.48,10,369.43,2,738.86,Gamer,0,0.3775,1
Europe,Lenovo,Desktop,i7,NVIDIA RTX 3060,16,2048,Windows 11,Gray,Reseller,PayPal,1436.36,20,1149.09,2,2298.18,Professional,0,0.4175,1
North America,Razer,All-in-One,M1,Intel Iris,16,256,macOS,Gray,Online,Bank Transfer,1357.69,10,1221.92,3,3665.76,Student,0,0.3675,1
Europe,Lenovo,Desktop,i5,AMD Radeon Vega,4,256,Windows 11,Silver,Retail Store,Debit Card,1051.02,20,840.82,2,1681.64,Gamer,0,0.3475,0
North America,Dell,Desktop,Ryzen 3,AMD Radeon Vega,32,1024,macOS,Gray,Retail Store,Bank Transfer,1909.5,15,1623.08,3,4869.24,Student,0,0.41,1
Europe,HP,Gaming Laptop,Ryzen 7,NVIDIA RTX 3060,4,512,Windows 10,Black,Retail Store,PayPal,1358.78,10,1222.9,3,3668.7,Enterprise,1,0.3275,0
Asia-Pacific,Razer,Desktop,Ryzen 3,NVIDIA RTX 3060,16,2048,Windows 11,Black,Retail Store,Debit Card,2239.35,0,2239.35,1,2239.35,Gamer,1,0.4425,1
Europe,Asus,Gaming Laptop,Ryzen 9,NVIDIA RTX 2060,4,256,macOS,Gray,Reseller,PayPal,2989.52,0,2989.52,1,2989.52,Professional,1,0.5225,1
Asia-Pacific,Dell,Desktop,Ryzen 9,Intel Iris,4,1024,macOS,Black,Retail Store,Credit Card,1547.76,0,1547.76,3,4643.28,Student,1,0.4825,1
Europe,Lenovo,Laptop,M2,NVIDIA RTX 3060,16,256,Windows 10,Blue,Online,Bank Transfer,1757.98,0,1757.98,3,5273.94,Gamer,0,0.32,0
Asia-Pacific,Dell,Gaming Laptop,Ryzen 7,Intel UHD,16,512,macOS,Gray,Reseller,PayPal,1657.49,15,1408.87,3,4226.61,Gamer,1,0.4225,1
Europe,Dell,All-in-One,Ryzen 5,AMD Radeon Vega,4,512,Linux,Gray,Online,Debit Card,2044.71,20,1635.77,3,4907.31,Gamer,1,0.51,1
Asia-Pacific,Asus,Laptop,Ryzen 5,NVIDIA RTX 2060,16,512,Linux,Gray,Reseller,Bank Transfer,1827.95,15,1553.76,1,1553.76,Professional,0,0.4075,1
North America,Apple,Desktop,i5,NVIDIA RTX 3060,32,512,macOS,Gray,Retail Store,PayPal,2448.98,5,2326.53,1,2326.53,Professional,0,0.5025,1
Asia-Pacific,Samsung,All-in-One,Ryzen 5,Intel UHD,16,1024,macOS,White,Retail Store,Debit Card,637.66,10,573.89,2,1147.78,Gamer,1,0.27,0
North America,Acer,Gaming Laptop,M1,Intel Iris,4,2048,macOS,Black,Reseller,Bank Transfer,1344.73,15,1143.02,1,1143.02,Student,0,0.3975,1
Asia-Pacific,Asus,Desktop,i9,Intel UHD,4,1024,Windows 11,Blue,Reseller,PayPal,2692.63,20,2154.1,1,2154.1,Student,1,0.4425,1
Europe,Apple,All-in-One,M2,NVIDIA RTX 3060,4,512,macOS,Gray,Online,Credit Card,2745.4,15,2333.59,2,4667.18,Enterprise,1,0.445,1
Europe,Samsung,All-in-One,Ryzen 3,Intel Iris,4,1024,Windows 10,Blue,Online,Debit Card,2645.17,20,2116.14,1,2116.14,Professional,1,0.3825,1
Europe,Dell,All-in-One,Ryzen 9,NVIDIA GTX 1650,4,1024,Windows 11,Gray,Retail Store,Debit Card,1891.37,10,1702.23,2,3404.46,Professional,1,0.33,0
Europe,Asus,Desktop,Ryzen 9,AMD Radeon Vega,4,256,Windows 10,Gray,Retail Store,Bank Transfer,1497.81,5,1422.92,2,2845.84,Student,0,0.305,0
Europe,Asus,Gaming Laptop,i3,NVIDIA RTX 2060,8,2048,macOS,Silver,Reseller,Credit Card,808.94,20,647.15,1,647.15,Gamer,1,0.395,1
North America,Samsung,Laptop,Ryzen 3,NVIDIA RTX 2060,32,512,Windows 10,White,Reseller,Credit Card,2582.56,15,2195.18,1,2195.18,Professional,1,0.35,1
North America,Apple,All-in-One,i7,NVIDIA GTX 1650,32,256,macOS,Blue,Online,Credit Card,1836.27,15,1560.83,2,3121.66,Enterprise,0,0.385,1
Europe,Razer,Desktop,i7,NVIDIA RTX 3060,32,1024,Linux,Blue,Retail Store,Debit Card,625.52,0,625.52,1,625.52,Student,0,0.3425,0
North America,MSI,Laptop,i9,Intel UHD,4,2048,Windows 10,White,Retail Store,Debit Card,814.27,5,773.56,3,2320.68,Enterprise,0,0.3825,1
Europe,Microsoft,All-in-One,i9,NVIDIA GTX 1650,32,2048,Windows 10,Silver,Retail Store,Bank Transfer,2541.33,5,2414.26,3,7242.78,Professional,1,0.44,1
North America,Acer,Desktop,M1,Intel UHD,4,512,macOS,Black,Retail Store,Debit Card,1561.91,15,1327.62,2,2655.24,Enterprise,0,0.43,1
Asia-Pacific,MSI,Laptop,i7,Intel UHD,32,2048,Windows 11,Gray,Reseller,Credit Card,1641.37,5,1559.3,2,3118.6,Student,1,0.445,1
Asia-Pacific,Asus,Gaming Laptop,i7,NVIDIA RTX 2060,4,512,Windows 10,Black,Reseller,Bank Transfer,1528.44,20,1222.75,3,3668.25,Student,1,0.3275,0
Europe,Microsoft,Desktop,M1,Intel Iris,8,512,Linux,White,Online,Credit Card,1692.96,5,1608.31,1,1608.31,Student,0,0.35,1
North America,Razer,All-in-One,Ryzen 5,AMD Radeon Vega,16,1024,Windows 11,Black,Online,Debit Card,1464.95,10,1318.46,1,1318.46,Student,0,0.55,1
Europe,Razer,All-in-One,Ryzen 5,NVIDIA RTX 2060,4,512,Linux,Gray,Retail Store,Bank Transfer,923.15,20,738.52,2,1477.04,Professional,0,0.415,1
Asia-Pacific,Samsung,Gaming Laptop,i9,NVIDIA RTX 3060,16,2048,macOS,Gray,Retail Store,PayPal,2178.94,20,1743.15,3,5229.45,Enterprise,1,0.4025,1
Asia-Pacific,MSI,Gaming Laptop,Ryzen 5,NVIDIA RTX 3060,4,256,Linux,Gray,Reseller,Credit Card,2402.1,20,1921.68,2,3843.36,Gamer,0,0.3575,1
North America,HP,Laptop,Ryzen 5,NVIDIA GTX 1650,16,512,macOS,Black,Retail Store,Bank Transfer,2773.83,0,2773.83,3,8321.49,Enterprise,0,0.4075,1
North America,Apple,Gaming Laptop,i9,Intel Iris,32,256,macOS,White,Reseller,PayPal,2095.07,10,1885.56,1,1885.56,Gamer,0,0.42,1
Europe,HP,Desktop,M1,NVIDIA RTX 3060,32,1024,macOS,White,Retail Store,Debit Card,1449.75,10,1304.78,2,2609.56,Student,0,0.5075,1
North America,Lenovo,Laptop,i5,Intel UHD,32,2048,macOS,Gray,Reseller,Bank Transfer,1632.6,0,1632.6,1,1632.6,Enterprise,0,0.3725,1
North America,HP,Desktop,i3,NVIDIA RTX 2060,16,2048,Windows 11,Gray,Retail Store,PayPal,1623.17,10,1460.85,2,2921.7,Professional,1,0.4475,1
Europe,Apple,Desktop,i3,NVIDIA RTX 2060,32,512,macOS,White,Reseller,Bank Transfer,1900.92,0,1900.92,2,3801.84,Professional,0,0.5175,1
Europe,Microsoft,Laptop,M1,AMD Radeon Vega,16,2048,Windows 10,White,Online,Credit Card,1010.84,10,909.76,2,1819.52,Gamer,0,0.365,1
Asia-Pacific,Dell,All-in-One,i5,Intel Iris,8,1024,macOS,Black,Online,Debit Card,1414.13,20,1131.3,3,3393.9,Enterprise,0,0.4375,1
Europe,Lenovo,Laptop,i5,Intel UHD,16,1024,Windows 11,White,Reseller,Bank Transfer,2543.63,0,2543.63,1,2543.63,Enterprise,0,0.43,1
Europe,Razer,Laptop,i9,AMD Radeon Vega,4,2048,Windows 10,Silver,Retail Store,Bank Transfer,1610.94,20,1288.75,3,3866.25,Student,1,0.2975,0
North America,Acer,All-in-One,M1,AMD Radeon Vega,8,2048,Linux,Black,Reseller,Bank Transfer,1178.05,0,1178.05,2,2356.1,Student,0,0.4175,1
Europe,Dell,All-in-One,i9,Intel UHD,32,1024,Windows 11,White,Online,PayPal,2330.18,10,2097.16,2,4194.32,Student,1,0.5125,1
Europe,Microsoft,Gaming Laptop,i5,Intel UHD,4,512,Windows 11,Gray,Retail Store,Bank Transfer,2410.32,0,2410.32,3,7230.96,Gamer,0,0.325,0
Europe,Razer,Desktop,M1,NVIDIA GTX 1650,4,256,Windows 10,White,Online,Debit Card,1679.98,0,1679.98,1,1679.98,Professional,1,0.3925,1
North America,Apple,All-in-One,i5,Intel Iris,4,512,macOS,Blue,Online,Credit Card,2971.5,5,2822.92,1,2822.92,Gamer,1,0.5025,1
Europe,HP,Desktop,Ryzen 5,Intel UHD,16,2048,Windows 11,Silver,Retail Store,Bank Transfer,1192.77,0,1192.77,2,2385.54,Student,1,0.445,1
North America,Lenovo,Desktop,i3,Intel UHD,32,1024,Linux,Gray,Online,Credit Card,2094.25,5,1989.54,1,1989.54,Enterprise,0,0.4675,1
Asia-Pacific,Samsung,All-in-One,i9,NVIDIA RTX 2060,16,256,Windows 10,Gray,Online,PayPal,2406.04,0,2406.04,3,7218.12,Professional,1,0.395,1
North America,MSI,Laptop,Ryzen 7,NVIDIA RTX 3060,16,2048,Linux,White,Reseller,Credit Card,2366.17,0,2366.17,2,4732.34,Professional,1,0.3475,0
Asia-Pacific,Asus,Laptop,M2,AMD Radeon Vega,4,512,Linux,Gray,Retail Store,Bank Transfer,2617.64,20,2094.11,3,6282.33,Professional,0,0.395,1
Europe,Microsoft,Desktop,i5,Intel Iris,32,256,Linux,Gray,Retail Store,Bank Transfer,1411.38,5,1340.81,1,1340.81,Professional,1,0.35,1
North America,Dell,Gaming Laptop,Ryzen 7,Intel Iris,32,256,Linux,White,Online,Credit Card,1803.56,10,1623.2,1,1623.2,Student,1,0.315,0
